date,cash,positions_value,total_value,num_positions,daily_return,peak,drawdown,month,year
2023-03-24,100000000.0,0.0,100000000.0,0,,100000000.0,0.0,2023-03,2023
2023-03-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-04-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-05-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-06-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-07-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
